Year ,Month,Transport Mode,Volume ,Rate,,,,
2014,November,Bus,"1,521",7.4,,,,
2014,December,Bus,"1,515",8,,,,
2015,January,Bus,"1,501",7.9,,,,
2015,February,Bus,"1,339",7.6,,,,
2015,March,Bus,"1,588",7.7,,,,
2014,April,London Underground / Docklands Light Railway,749,7,,,,
2014,May,London Underground / Docklands Light Railway,747,6.5,,,,
2014,June,London Underground / Docklands Light Railway,841,7.3,,,,
2014,July,London Underground / Docklands Light Railway,859,7,,,,
2014,August,London Underground / Docklands Light Railway,764,6.9,,,,
2014,September,London Underground / Docklands Light Railway,793,6.8,,,,
2014,October,London Underground / Docklands Light Railway,913,7,,,,
2014,November,London Underground / Docklands Light Railway,856,6.8,,,,
2014,December,London Underground / Docklands Light Railway,883,7.7,,,,
2015,January,London Underground / Docklands Light Railway,801,6.9,,,,
2015,February,London Underground / Docklands Light Railway,724,6.3,,,,
2015,March,London Underground / Docklands Light Railway,899,7.1,,,,
2014,April,London Overground,83,7.3,,,,
2014,May,London Overground,91,8.4,,,,
2014,June,London Overground,75,6.7,,,,
2014,July,London Overground,80,6.5,,,,
2014,August,London Overground,70,5.9,,,,
2014,September,London Overground,82,7.1,,,,
2014,October,London Overground,54,4.4,,,,
2014,November,London Overground,63,5.3,,,,
2014,December,London Overground,52,4.9,,,,
2015,January,London Overground,64,6.1,,,,
2015,February,London Overground,68,6.1,,,,
2015,March,London Overground,58,4.6,,,,
2014,April,London Tramlink,14,5.6,,,,
2014,May,London Tramlink,13,5.4,,,,
2014,June,London Tramlink,14,5.3,,,,
2014,July,London Tramlink,19,7.2,,,,
2014,August,London Tramlink,7,3.3,,,,
2014,September,London Tramlink,8,2.9,,,,
2014,October,London Tramlink,20,7.2,,,,
2014,November,London Tramlink,22,8.2,,,,
2014,December,London Tramlink,17,6.7,,,,
2015,January,London Tramlink,23,8.8,,,,
2015,February,London Tramlink,22,9,,,,
2015,March,London Tramlink,29,10.8,,,,
2014,April,All transport modes,"2,152",6.9,,,,
2014,May,All transport modes,"2,201",6.6,,,,
2014,June,All transport modes,"2,368",7,,,,
2014,July,All transport modes,"2,350",6.9,,,,
2014,August,All transport modes,"2,024",6.7,,,,
2014,September,All transport modes,"2,442",7.1,,,,
2014,October,All transport modes,"2,572",7.1,,,,
2014,November,All transport modes,"2,462",7.2,,,,
2014,December,All transport modes,"2,467",7.8,,,,
2015,January,All transport modes,"2,389",7.5,,,,
2015,February,All transport modes,"2,153",7.1,,,,
2015,March,All transport modes,"2,574",7.4,,,,
2015,April,Bus,"1,376",7.2,,,,
2015,May,Bus,"1,415",7.1,,,,
2015,June,Bus,"1,509",7.3,,,,
2015,July,Bus,"1,524",7.6,,,,
2015,August,Bus,"1,368",7.9,,,,
2015,September,Bus,"1,408",6.9,,,,
2015,October,Bus,"1,550",7.6,,,,
2015,November,Bus,"1,633",8.3,,,,
2015,December,Bus,"1,504",8.3,,,,
2016,January,Bus,"1,394",7.5,,,,
2016,February,Bus,"1,407",7.7,,,,
2016,March,Bus,"1,396",7.2,,,,
2015,April,London Underground / Docklands Light Railway,805,6.9,,,,
2015,May,London Underground / Docklands Light Railway,841,7,,,,
2015,June,London Underground / Docklands Light Railway,841,6.8,,,,
2015,July,London Underground / Docklands Light Railway,837,6.8,,,,
2015,August,London Underground / Docklands Light Railway,830,7.6,,,,
2015,September,London Underground / Docklands Light Railway,815,6.6,,,,
2015,October,London Underground / Docklands Light Railway,929,6.8,,,,
2015,November,London Underground / Docklands Light Railway,"1,050",8.2,,,,
2015,December,London Underground / Docklands Light Railway,965,8.2,,,,
2016,January,London Underground / Docklands Light Railway,"1,091",9.2,,,,
2016,February,London Underground / Docklands Light Railway,906,7.4,,,,
2016,March,London Underground / Docklands Light Railway,"1,132",9,,,,
2015,April,London Overground,70,5.6,,,,
2015,May,London Overground,63,4.9,,,,
2015,June,London Overground,98,6.1,,,,
2015,July,London Overground,127,4.9,,,,
2015,August,London Overground,117,7.8,,,,
2015,September,London Overground,108,6.7,,,,
2015,October,London Overground,125,7.3,,,,
2015,November,London Overground,111,6.6,,,,
2015,December,London Overground,108,7.3,,,,
2016,January,London Overground,110,7,,,,
2016,February,London Overground,100,6.5,,,,
2016,March,London Overground,108,6.9,,,,
2015,April,London Tramlink,20,9.3,,,,
2015,May,London Tramlink,29,12.2,,,,
2015,June,London Tramlink,25,9.9,,,,
2015,July,London Tramlink,15,6.6,,,,
2015,August,London Tramlink,14,6.8,,,,
2015,September,London Tramlink,17,7.3,,,,
2015,October,London Tramlink,19,8.2,,,,
2015,November,London Tramlink,25,10.4,,,,
2015,December,London Tramlink,20,8.8,,,,
2016,January,London Tramlink,33,14.5,,,,
2016,February,London Tramlink,16,7.1,,,,
2016,March,London Tramlink,32,13.6,,,,
2015,April,All transport modes,"2,271",7.1,,,,
2015,May,All transport modes,"2,348",7,,,,
2015,June,All transport modes,"2,473",7,,,,
2015,July,All transport modes,"2,503",7.2,,,,
2015,August,All transport modes,"2,329",7.8,,,,
2015,September,All transport modes,"2,348",6.8,,,,
2015,October,All transport modes,"2,623",7.3,,,,
2015,November,All transport modes,"2,819",8.2,,,,
2015,December,All transport modes,"2,597",8.2,,,,
2016,January,All transport modes,"2,628",8.1,,,,
2016,February,All transport modes,"2,429",7.5,,,,
2016,March,All transport modes,"2,668",7.9,,,,
2016,April,Bus,"1,347",7.1,,,,
2016,May,Bus,"1,502",7.7,,,,
2016,June,Bus,"1,555",8.1,,,,
2016,July,Bus,"1,482",7.9,,,,
2016,August,Bus,"1,404",8.3,,,,
2016,September,Bus,"1,447",7.3,,,,
2016,October,Bus,"1,479",7.6,,,,
2016,November,Bus,"1,432",7.3,,,,
2016,December,Bus,"1,370",7.8,,,,
2017,January,Bus,"1,212",6.6,,,,
2017,February,Bus,"1,256",7.3,,,,
2017,March,Bus,"1,587",7.7,,,,
2016,April,London Underground / Docklands Light Railway,790,6.4,,,,
2016,May,London Underground / Docklands Light Railway,908,7.3,,,,
2016,June,London Underground / Docklands Light Railway,886,7.1,,,,
2016,July,London Underground / Docklands Light Railway,911,7.1,,,,
2016,August,London Underground / Docklands Light Railway,"1,028",8.7,,,,
2016,September,London Underground / Docklands Light Railway,856,6.9,,,,
2016,October,London Underground / Docklands Light Railway,963,7.3,,,,
2016,November,London Underground / Docklands Light Railway,"1,303",9.7,,,,
2016,December,London Underground / Docklands Light Railway,"1,020",8.5,,,,
2017,January,London Underground / Docklands Light Railway,974,8.4,,,,
2017,February,London Underground / Docklands Light Railway,944,8,,,,
2017,March,London Underground / Docklands Light Railway,"1,139",8.5,,,,
2016,April,London Overground,73,4.6,,,,
2016,May,London Overground,74,4.7,,,,
2016,June,London Overground,92,6.1,,,,
2016,July,London Overground,110,6.9,,,,
2016,August,London Overground,110,7.2,,,,
2016,September,London Overground,111,7,,,,
2016,October,London Overground,94,5.6,,,,
2016,November,London Overground,98,5.8,,,,
2016,December,London Overground,76,5.1,,,,
2017,January,London Overground,91,5.8,,,,
2017,February,London Overground,86,5.9,,,,
2017,March,London Overground,127,7.3,,,,
2016,April,TFL Rail,36,9.2,,,,
