Year,Month,Transport Mode,Crime Volume,Rate
2017,5,London Overground,134.0,8.3
2017,5,London Tramlink,23.0,9.3
2017,5,London Underground / Docklands Light Railway,983.0,13.8
2017,5,TFL Rail,51.0,13.4
2017,6,Bus,1402.0,7.2
2017,6,London Overground,137.0,8.7
2017,6,London Tramlink,24.0,9.7
2017,6,London Underground / Docklands Light Railway,1074.0,14.9
2017,6,TFL Rail,29.0,7.4
2017,7,Bus,1536.0,8.1
2017,7,London Overground,124.0,7.7
2017,7,London Tramlink,27.0,10.8
2017,7,London Underground / Docklands Light Railway,1158.0,14.7
2017,7,TFL Rail,36.0,9.1
2017,8,Bus,1197.0,7.1
2017,8,London Overground,113.0,7.6
2017,8,London Tramlink,26.0,11.5
2017,8,London Underground / Docklands Light Railway,1054.0,15.399999999999999
2017,8,TFL Rail,41.0,11.2
2017,9,Bus,1274.0,6.5
2017,9,London Overground,110.0,7.2
2017,9,London Tramlink,24.0,9.1
2017,9,London Underground / Docklands Light Railway,1040.0,13.6
2017,9,TFL Rail,55.0,13.9
2017,10,Bus,1403.0,7.1
2017,10,London Overground,142.0,9.2
2017,10,London Tramlink,35.0,13.3
2017,10,London Underground / Docklands Light Railway,1259.0,14.7
2017,10,TFL Rail,69.0,16.6
2017,11,Bus,1543.0,7.8
2017,11,London Overground,102.0,6.5
2017,11,London Tramlink,17.0,6.5
2017,11,London Underground / Docklands Light Railway,1314.0,15.600000000000001
2017,11,TFL Rail,64.0,15.4
2017,12,Bus,1227.0,7.1
2017,12,London Overground,109.0,7.8
2017,12,London Tramlink,19.0,8.3
2017,12,London Underground / Docklands Light Railway,1316.0,15.7
2017,12,TFL Rail,44.0,13.0
2018,1,Bus,1218.0,6.5
2018,1,London Overground,97.0,6.1
2018,1,London Tramlink,23.0,9.7
2018,1,London Underground / Docklands Light Railway,1238.0,15.2
2018,1,TFL Rail,60.0,14.7
2018,2,Bus,1245.0,7.2
2018,2,London Overground,111.0,7.6
2018,2,London Tramlink,14.0,6.3
2018,2,London Underground / Docklands Light Railway,1223.0,14.3
2018,2,TFL Rail,59.0,16.9
2018,3,Bus,1320.0,6.9
2018,3,London Overground,116.0,7.2
2018,3,London Tramlink,18.0,7.6
2018,3,London Underground / Docklands Light Railway,1347.0,16.6
2018,3,TFL Rail,69.0,19.3
2018,4,Bus,1080.0,6.1
2018,4,London Overground,120.0,7.7
2018,4,London Tramlink,22.0,10.7
2018,4,London Underground / Docklands Light Railway,1155.0,14.5
2018,4,TFL Rail,52.0,13.4
2018,5,Bus,1220.0,6.3
2018,5,London Overground,142.0,9.0
2018,5,London Tramlink,26.0,10.2
2018,5,London Underground / Docklands Light Railway,1218.0,15.8
2018,5,TFL Rail,62.0,15.2
2018,6,Bus,1194.0,6.1
2018,6,London Overground,132.0,8.3
2018,6,London Tramlink,15.0,5.9
2018,6,London Underground / Docklands Light Railway,1225.0,15.7
2018,6,TFL Rail,58.0,12.7
2018,7,Bus,1273.0,6.8
2018,7,London Overground,132.0,8.3
2018,7,London Tramlink,25.0,10.0
2018,7,London Underground / Docklands Light Railway,1270.0,16.5
2018,7,TFL Rail,87.0,18.2
2018,8,Bus,1032.0,6.2
2018,8,London Overground,150.0,9.7
2018,8,London Tramlink,15.0,6.3
2018,8,London Underground / Docklands Light Railway,1210.0,15.4
2018,8,TFL Rail,85.0,18.9
2018,9,Bus,1184.0,6.2
2018,9,London Overground,103.0,6.2
2018,9,London Tramlink,14.0,5.6
2018,9,London Underground / Docklands Light Railway,1176.0,17.6
2018,9,TFL Rail,97.0,20.9
2018,10,Bus,1369.0,7.0
2018,10,London Overground,152.0,8.7
2018,10,London Tramlink,21.0,8.0
2018,10,London Underground / Docklands Light Railway,1359.0,15.9
2018,10,TFL Rail,112.0,20.8
2018,11,Bus,1488.0,7.6
2018,11,London Overground,130.0,7.8
2018,11,London Tramlink,21.0,8.3
2018,11,London Underground / Docklands Light Railway,1411.0,16.1
2018,11,TFL Rail,76.0,16.2
2018,12,Bus,1262.0,7.3
2018,12,London Overground,167.0,13.3
2018,12,London Tramlink,31.0,13.5
2018,12,London Underground / Docklands Light Railway,1832.0,23.6
2018,12,TFL Rail,62.0,16.3
2019,1,Bus,1318.0,7.2
2019,1,London Overground,103.0,6.5
2019,1,London Tramlink,19.0,8.3
2019,1,London Underground / Docklands Light Railway,1583.0,18.6
2019,1,TFL Rail,61.0,12.2
2019,2,Bus,1369.0,8.0
2019,2,London Overground,135.0,9.4
2019,2,London Tramlink,12.0,5.5
2019,2,London Underground / Docklands Light Railway,1524.0,17.6
2019,2,TFL Rail,46.0,10.5
2019,3,Bus,1568.0,8.1
2019,3,London Overground,141.0,8.4
2019,3,London Tramlink,16.0,6.8
2019,3,London Underground / Docklands Light Railway,1971.0,22.6
2019,3,TFL Rail,74.0,15.9
2019,4,Bus,1386.0,8.0
2019,4,London Overground,169.0,11.0
2019,4,London Tramlink,19.0,8.7
2019,4,London Underground / Docklands Light Railway,1745.0,20.9
2019,4,TFL Rail,61.0,12.8
2019,5,Bus,1395.0,7.4
2019,5,London Overground,136.0,8.8
2019,5,London Tramlink,19.0,8.0
2019,5,London Underground / Docklands Light Railway,1481.0,16.2
2019,5,TFL Rail,53.0,10.8
2019,6,Bus,1564.0,8.3
2019,6,London Overground,151.0,10.1
2019,6,London Tramlink,31.0,12.8
2019,6,London Underground / Docklands Light Railway,1827.0,21.5
2019,6,TFL Rail,83.0,17.5
2019,7,Bus,1469.0,7.8
2019,7,London Overground,136.0,8.4
2019,7,London Tramlink,24.0,9.7
2019,7,London Underground / Docklands Light Railway,1549.0,17.9
2019,7,TFL Rail,77.0,15.1
2019,8,Bus,1146.0,7.0
2019,8,London Overground,128.0,8.9
2019,8,London Tramlink,12.0,6.4
2019,8,London Underground / Docklands Light Railway,1487.0,18.1
2019,8,TFL Rail,83.0,18.1
2019,9,Bus,1328.0,7.1
2019,9,London Overground,125.0,8.1
2019,9,London Tramlink,22.0,9.6
2019,9,London Underground / Docklands Light Railway,1403.0,16.1
2019,9,TFL Rail,52.0,10.5
2019,10,Bus,1693.0,8.9
2019,10,London Overground,117.0,6.4
2019,10,London Tramlink,20.0,8.0
2019,10,London Underground / Docklands Light Railway,1819.0,20.0
2019,10,TFL Rail,68.0,12.3
2019,11,Bus,1507.0,8.0
2019,11,London Overground,144.0,8.3
2019,11,London Tramlink,36.0,14.6
2019,11,London Underground / Docklands Light Railway,2026.0,21.7
2019,11,TFL Rail,71.0,13.5
2019,12,Bus,1277.0,7.6
2019,12,London Overground,169.0,12.1
2019,12,London Tramlink,20.0,8.9
2019,12,London Underground / Docklands Light Railway,2664.0,31.0
2019,12,TFL Rail,87.0,17.2
2020,1,Bus,1422.0,7.9
2020,1,London Overground,129.0,8.1
2020,1,London Tramlink,19.0,7.7
2020,1,London Underground / Docklands Light Railway,2081.0,25.400000000000002
2020,1,TFL Rail,74.0,12.2
2020,2,Bus,1408.0,8.3
2020,2,London Overground,137.0,13.9
2020,2,London Tramlink,27.0,11.5
2020,2,London Underground / Docklands Light Railway,1919.0,26.9
2020,2,TFL Rail,75.0,11.9
2020,3,Bus,1158.0,9.5
2020,3,London Overground,121.0,10.7
2020,3,London Tramlink,16.0,9.9
2020,3,London Underground / Docklands Light Railway,1359.0,21.3
2020,3,TFL Rail,52.0,14.9
2020,4,Bus,450.0,16.0
2020,4,London Overground,42.0,50.1
2020,4,London Tramlink,5.0,10.4
2020,4,London Underground / Docklands Light Railway,376.0,90.0
2020,4,TFL Rail,24.0,18.3
2020,5,Bus,599.0,16.9
2020,5,London Overground,49.0,32.9
2020,5,London Tramlink,11.0,21.4
2020,5,London Underground / Docklands Light Railway,350.0,63.6
2020,5,TFL Rail,28.0,38.3
2020,6,Bus,782.0,15.1
2020,6,London Overground,60.0,19.2
2020,6,London Tramlink,13.0,16.8
