Month,Year,Transport Mode,Volume
12,2015,TFL Rail,3.0
1,2016,TFL Rail,3.8
2,2016,TFL Rail,3.2
3,2016,TFL Rail,2.8
4,2016,TFL Rail,4.0
5,2016,TFL Rail,3.7
6,2016,TFL Rail,3.5
7,2016,TFL Rail,3.8
8,2016,TFL Rail,3.6
9,2016,TFL Rail,3.5
10,2016,TFL Rail,3.7
10,2016,TFL Rail,3.8
11,2016,TFL Rail,4.0
12,2016,TFL Rail,3.3
1,2017,TFL Rail,3.8
2,2017,TFL Rail,3.6
3,2017,TFL Rail,3.4
4,2017,TFL Rail,3.3
5,2017,TFL Rail,3.5
6,2017,TFL Rail,3.4
7,2017,TFL Rail,3.7
8,2017,TFL Rail,3.5
9,2017,TFL Rail,3.3
10,2017,TFL Rail,3.8
10,2017,TFL Rail,3.7
11,2017,TFL Rail,3.9
12,2017,TFL Rail,2.9
1,2018,TFL Rail,3.7
2,2018,TFL Rail,3.4
3,2018,TFL Rail,3.3
4,2018,TFL Rail,3.5
5,2018,TFL Rail,3.7
6,2018,TFL Rail,4.2
7,2018,TFL Rail,4.5
8,2018,TFL Rail,4.1
9,2018,TFL Rail,4.1
9,2018,TFL Rail,4.7
10,2018,TFL Rail,4.7
11,2018,TFL Rail,4.6
12,2018,TFL Rail,3.9
1,2019,TFL Rail,4.6
2,2019,TFL Rail,4.4
3,2019,TFL Rail,4.3
4,2019,TFL Rail,4.3
5,2019,TFL Rail,4.5
6,2019,TFL Rail,4.4
7,2019,TFL Rail,4.6
8,2019,TFL Rail,4.3
9,2019,TFL Rail,4.3
9,2019,TFL Rail,4.9
10,2019,TFL Rail,4.9
11,2019,TFL Rail,5.0
12,2019,TFL Rail,4.3
1,2020,TFL Rail,5.7
2,2020,TFL Rail,5.2
3,2020,TFL Rail,3.5
4,2020,TFL Rail,0.6
5,2020,TFL Rail,0.7
6,2020,TFL Rail,1.2
7,2020,TFL Rail,1.6
8,2020,TFL Rail,2.0
9,2020,TFL Rail,2.2
10,2020,TFL Rail,2.5
11,2020,TFL Rail,2.1
11,2020,TFL Rail,2.1
12,2020,TFL Rail,1.2
1,2021,TFL Rail,1.2
2,2021,TFL Rail,1.4
3,2021,TFL Rail,1.5
4,2021,TFL Rail,2.1
5,2021,TFL Rail,2.3
6,2021,TFL Rail,2.7
7,2021,TFL Rail,2.8
8,2021,TFL Rail,2.8
9,2021,TFL Rail,3.1
10,2021,TFL Rail,3.7
10,2021,TFL Rail,3.7
